Timestamp (DDD:HH:MM:SS.sssssssss),channel_1,channel_2,channel_3,channel_4,channel_5
091:13:20:00.000000000,-0.3551764183631294,-0.5025051984149616,-1.2645297875551291,-0.2121242783692564,0.5756536594789766
091:13:20:00.100000000,-0.4410529368353353,1.030547003544818,-0.3348538958785422,1.0205743166853534,-0.31111064198115546
091:13:20:00.200000000,1.8408768973386653,-1.0970120512334234,0.2882029941397647,-1.4001079393355835,-0.37114851474452043
091:13:20:00.300000000,0.9708785386233676,-0.7773994764418071,1.6353172011510682,-12.699278233422183,-1.014552019494543
091:13:20:00.400000000,0.7182671756290199,1.4957003814407754,-2.3439955778867603,-0.5156945674967184,0.7053240906492253
091:13:20:00.500000000,0.9329453935165687,0.014823025424716056,-1.9535494875919153,-0.15710195501665727,0.8873719776280606
091:13:20:00.600000000,-0.6481686147412827,-1.4503571055184132,6.062030452765522,-2.197658528957677,1.6739909603099665
091:13:20:00.700000000,0.6494154590351586,0.5484698559078789,0.8016035352600634,22.89163782639867,0.6137252918910667
091:13:20:00.800000000,-1.007063780431116,0.24006258103753692,-0.5604423205788619,-0.35154896380781514,-0.8041784157138264
091:13:20:00.900000000,-0.7508638656558927,0.516091410467148,-0.1024891798267776,-0.7050946362586548,1.19299420367898
091:13:20:01.000000000,-2.008011754527941,-0.596680920703096,0.031033005032316145,-0.04101285264061191,-1.0303251746740636
091:13:20:01.100000000,1.543489930447583,1.2863192832007233,-0.09295136135112435,0.16796814437425364,-0.6505503229276347
091:13:20:01.200000000,-1.683927913200855,-0.26966894652621215,0.8026973108557921,4.427800369380361,-1.052549942915383
091:13:20:01.300000000,-1.9412556283355704,1.582212298790306,0.48853078156625285,-1.802534249007842,-1.8451989243681979
091:13:20:01.400000000,0.14378407012163782,-0.149999437416806,-26.344329655982705,2.251615069704909,-0.08434150957369002
091:13:20:01.500000000,55.44918117744385,0.785258882101553,0.87703272766043,-0.5326164725110568,0.4613077746850208
091:13:20:01.600000000,-2.3896998511572334,1.399218068456898,0.39686651693564884,-0.10388374533521683,0.4376115155451065
091:13:20:01.700000000,-0.4349086372088159,-50.02416816459178,-1.1344304667350953,-1.1013541800236022,-1.8469120632135168
091:13:20:01.800000000,0.16604690499968427,-1.4403537496720429,0.4154338254731299,1.057588796745724,-2.209356552000597
091:13:20:01.900000000,0.7208525812642327,0.4509777853524756,0.8593090121045042,-1.1719806413578044,-0.5996243061965946
091:13:20:02.000000000,0.44677152817391225,1.698230267850529,-0.015682620520805376,-0.3343011420190272,0.7151418741670819
091:13:20:02.100000000,-17.881420383032758,1.1573693422508071,-0.3824290253349688,2.02500118216345,-0.03362530128808007
091:13:20:02.200000000,-1.057869854733196,-3.575964579063781,1.1541368494826452,1.1506271397419452,0.5011913253472265
091:13:20:02.300000000,-0.035757124090564626,1.749184248581313,-0.815638920450612,0.8754565451388221,-3.150870734918172
091:13:20:02.400000000,-0.044031494358845034,-0.1756478049646,0.35579164754111564,-43.903633829845965,0.7024822906125298
091:13:20:02.500000000,-0.9641080348823018,-0.422108325118106,0.6644469905754883,36.458394387563374,-0.47215324419197496
091:13:20:02.600000000,13.721590654672939,1.0995932311287782,1.619446053544675,1.34283316633007,-0.15568578893722468
091:13:20:02.700000000,1.5717482467974608,-0.49368937789665673,-1.2808845754012976,0.8060727306110665,-0.09463341273025459
091:13:20:02.800000000,0.6437859561807941,-0.8142882907519617,0.04899142592130409,-1.5552926986394142,0.19571874013929608
091:13:20:02.900000000,0.6618926620536085,0.4663577303395601,-1.8328104687230866,-3.098190017247655,0.7904666436197668
091:13:20:03.000000000,0.9352018836959006,-0.4150641704715483,-1.0956371818333972,-0.5806978726912413,-0.04777963544787851
091:13:20:03.100000000,-0.010027694831671157,-1.36230662068891,6.518969433295755,-0.05047685071832891,-0.42498330712860466
091:13:20:03.200000000,-0.5926616916741021,-0.04886834943114452,-1.004475573858611,-0.6777581923102061,-1.335782095654598
091:13:20:03.300000000,-0.6244093018585931,-0.6165967328611094,-0.8480074751473334,0.419090358208277,1.0726424045657545
091:13:20:03.400000000,-1.0608458482691334,-1.1129371688496272,-0.7416074927082075,0.9855016242665308,0.2817317750036649
091:13:20:03.500000000,-0.580960474559602,-1.3120346199118145,1.1807584583767985,0.6622265138184348,1.109941205653283
091:13:20:03.600000000,0.751397349044524,0.5217929198031906,-0.5294186220484506,0.5990137566158232,0.06609363159348322
091:13:20:03.700000000,-1.9114563827974034,-0.9048382464360832,0.7683627349051542,-1.1200622592355896,-1.9901741051666941
091:13:20:03.800000000,-0.03597010035794657,0.6688467699418567,0.06157887786873227,0.0578050907459966,-0.6917316615207652
